町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,東区,戸坂惣田二丁目,,259,120,139,258,119,139,1,119,118
2026,7,東区,戸坂中町,,426,203,223,417,200,217,9,209,201
2026,7,東区,戸坂桜東町,,539,259,280,529,254,275,10,260,255
2026,7,東区,戸坂桜西町,,485,232,253,482,231,251,3,230,227
2026,7,東区,戸坂桜上町,,553,246,307,548,244,304,5,338,333
2026,7,東区,戸坂山根一丁目,,977,439,538,938,419,519,39,528,507
2026,7,東区,戸坂山根二丁目,,"1,128",542,586,"1,113",534,579,15,531,518
2026,7,東区,戸坂山根三丁目,,446,222,224,438,217,221,8,199,194
2026,7,東区,戸坂出江一丁目,,622,297,325,613,293,320,9,322,313
2026,7,東区,戸坂出江二丁目,,863,413,450,854,408,446,9,414,409
2026,7,東区,戸坂数甲一丁目,,319,154,165,318,154,164,1,129,128
2026,7,東区,戸坂数甲二丁目,,623,299,324,619,298,321,4,301,297
2026,7,東区,戸坂大上一丁目,,354,162,192,353,162,191,1,180,179
2026,7,東区,戸坂大上二丁目,,360,193,167,356,192,164,4,182,178
2026,7,東区,戸坂大上三丁目,,244,119,125,236,113,123,8,135,130
2026,7,東区,戸坂大上四丁目,,"1,502",744,758,"1,484",731,753,18,711,696
2026,7,東区,戸坂新町一丁目,,442,201,241,436,200,236,6,244,238
2026,7,東区,戸坂新町二丁目,,"1,717",800,917,"1,667",779,888,50,"1,010",973
2026,7,東区,戸坂南一丁目,,920,437,483,896,425,471,24,505,486
2026,7,東区,戸坂南二丁目,,464,219,245,459,218,241,5,262,257
2026,7,東区,尾長東一丁目,,517,238,279,493,230,263,24,306,288
2026,7,東区,尾長東二丁目,,738,371,367,692,355,337,46,423,392
2026,7,東区,尾長東三丁目,,634,306,328,619,300,319,15,350,335
2026,7,東区,尾長西一丁目,,688,335,353,655,323,332,33,405,384
2026,7,東区,尾長西二丁目,,738,359,379,719,352,367,19,452,435
2026,7,東区,曙一丁目,,303,145,158,292,139,153,11,211,202
2026,7,東区,曙二丁目,,635,331,304,589,309,280,46,405,364
2026,7,東区,曙三丁目,,117,71,46,116,70,46,1,76,75
2026,7,東区,曙四丁目,,369,191,178,353,182,171,16,243,229
2026,7,東区,曙五丁目,,361,197,164,332,179,153,29,256,235
2026,7,東区,戸坂長尾台,,192,94,98,190,92,98,2,76,74
2026,7,東区,中山南一丁目,,"1,774",861,913,"1,746",852,894,28,871,848
2026,7,東区,中山南二丁目,,392,199,193,372,192,180,20,198,186
2026,7,東区,中山西一丁目,,570,271,299,560,266,294,10,288,280
2026,7,東区,中山西二丁目,,"1,636",805,831,"1,610",791,819,26,705,692
2026,7,東区,中山東一丁目,,744,368,376,740,367,373,4,356,353
